fomc_d,fomc_p,type,word
0,0,NN,step
0,0,NN,respondent
0,0,NN,week
0,0,NN,factory
0,0,NN,type
0,0,NN,future
0,0,NN,hour
0,0,NN,Credit
0,0,NN,opening
0,0,NN,wealth
0,0,NN,shift
0,0,NN,accordance
0,0,NN,manager
0,0,NN,volume
0,0,NN,approval
0,0,NN,unit
0,-1,NN,recession
0,0,NN,revision
0,0,NN,Opinion
0,0,NN,Officer
0,0,NN,weather
0,0,NN,assembly
0,0,NN,Indicators
0,-1,NN,disruption
0,-1,NN,contraction
0,0,NN,worth
0,0,NN,corporation
0,0,NN,benefit
0,0,NN,refinancing
0,0,NN,aircraft
0,0,NN,reserve
0,0,NN,eme
0,0,NN,facility
0,0,NN,loss
0,0,NN,component
0,-1,NN,fall
0,0,NN,leverage
0,0,NN,hiring
0,0,NN,book
0,0,NN,performance
0,0,NN,region
0,0,NN,Broad
0,0,NN,process
0,0,NN,C&I
0,0,NN,Gross
0,0,NN,Greece
0,-1,NN,slowing
0,0,NN,summer
0,0,NN,stress
0,0,NN,need
0,0,NN,Senior
0,0,NN,repurchase
0,0,NN,advance
0,0,NN,intention
0,-1,NN,default
0,0,NN,degree
0,0,NN,fomc
0,1,NN,strengthening
0,-1,NN,crisis
0,0,NN,movement
0,0,NN,trading
0,0,NN,supplies
0,0,NN,student
0,1,NN,stimulus
0,-1,NN,drag
0,0,NN,defense
0,-1,NN,deterioration
0,0,NN,Central
0,0,NN,SOMA
0,-1,NN,absence
0,0,NN,judgment
0,0,NN,minute
0,0,NN,beginning
0,0,NN,indication
0,0,NN,news
0,1,NN,rebound
0,0,NN,cmb
0,0,NN,case
0,0,NN,composition
0,0,NN,permit
0,0,NN,Manufacturing
0,0,NN,importance
0,0,NN,quote
0,0,NN,margin
0,0,NN,efficacy
0,0,NN,MBS
0,0,NN,potential
0,0,NN,announcement
0,0,NN,spring
0,0,NN,system
0,0,NN,schedule
0,0,NN,position
0,0,NN,reaction
0,0,NN,c&i
0,0,NN,respect
0,0,NN,ECB
0,0,NN,SLOOS
0,0,NN,Securities
0,0,NN,environment
0,0,NN,way
0,0,NN,day
0,0,NN,probability
0,0,NN,Loan
0,0,NN,trajectory
0,-1,NN,easing
0,0,NN,valuation
0,0,NN,automaker
0,0,NN,Projections
0,0,NN,vacancy
0,0,NN,Lending
0,1,NN,upside
