,add_top_word,f1_compare,f1_score,pre_compare,pre_score,re_compare,re_score
0,ecb,0.5714285714285715,0.5714285714285715,0.5,0.5,0.6666666666666666,0.6666666666666666
1,engage,0.5714285714285715,0.5714285714285715,0.5,0.5,0.6666666666666666,0.6666666666666666
2,security,0.5714285714285715,0.5663716814159293,0.5,0.49230769230769234,0.6666666666666666,0.6666666666666666
3,activity,0.5714285714285715,0.5614035087719298,0.5,0.48484848484848486,0.6666666666666666,0.6666666666666666
4,tightening,0.5714285714285715,0.5714285714285715,0.5,0.5,0.6666666666666666,0.6666666666666666
5,start,0.5714285714285715,0.5714285714285715,0.5,0.5,0.6666666666666666,0.6666666666666666
6,easing,0.5714285714285715,0.5714285714285715,0.5,0.5,0.6666666666666666,0.6666666666666666
7,accommodation,0.5714285714285715,0.5663716814159293,0.5,0.49230769230769234,0.6666666666666666,0.6666666666666666
8,run,0.5714285714285715,0.5614035087719298,0.5,0.48484848484848486,0.6666666666666666,0.6666666666666666
9,remove,0.5714285714285715,0.5714285714285715,0.5,0.5,0.6666666666666666,0.6666666666666666
10,less,0.5714285714285715,0.5714285714285715,0.5,0.5,0.6666666666666666,0.6666666666666666
11,durable,0.5714285714285715,0.5663716814159293,0.5,0.49230769230769234,0.6666666666666666,0.6666666666666666
12,brazil,0.5714285714285715,0.5714285714285715,0.5,0.5,0.6666666666666666,0.6666666666666666
13,asia,0.5714285714285715,0.5714285714285715,0.5,0.5,0.6666666666666666,0.6666666666666666
14,determine,0.5714285714285715,0.5663716814159293,0.5,0.49230769230769234,0.6666666666666666,0.6666666666666666
15,inflationary,0.5714285714285715,0.5789473684210527,0.5,0.5,0.6666666666666666,0.6875
16,stay,0.5714285714285715,0.5714285714285715,0.5,0.5,0.6666666666666666,0.6666666666666666
17,year,0.5714285714285715,0.5614035087719298,0.5,0.48484848484848486,0.6666666666666666,0.6666666666666666
18,purchase,0.5714285714285715,0.5565217391304348,0.5,0.47761194029850745,0.6666666666666666,0.6666666666666666
19,ready,0.5714285714285715,0.584070796460177,0.5,0.5076923076923077,0.6666666666666666,0.6875
20,stand,0.5714285714285715,0.5789473684210527,0.5,0.5,0.6666666666666666,0.6875
21,afford,0.5714285714285715,0.584070796460177,0.5,0.5076923076923077,0.6666666666666666,0.6875
22,normalization,0.5714285714285715,0.584070796460177,0.5,0.5076923076923077,0.6666666666666666,0.6875
23,limited,0.5714285714285715,0.5714285714285715,0.5,0.5,0.6666666666666666,0.6666666666666666
24,sight,0.5714285714285715,0.5714285714285715,0.5,0.5,0.6666666666666666,0.6666666666666666
25,fed,0.5714285714285715,0.5614035087719298,0.5,0.48484848484848486,0.6666666666666666,0.6666666666666666
26,approach,0.5714285714285715,0.5714285714285715,0.5,0.5,0.6666666666666666,0.6666666666666666
27,real,0.5714285714285715,0.5565217391304348,0.5,0.47761194029850745,0.6666666666666666,0.6666666666666666
28,authority,0.5714285714285715,0.5565217391304348,0.5,0.47761194029850745,0.6666666666666666,0.6666666666666666
29,long,0.5714285714285715,0.5641025641025642,0.5,0.4782608695652174,0.6666666666666666,0.6875
30,part,0.5714285714285715,0.5565217391304348,0.5,0.47761194029850745,0.6666666666666666,0.6666666666666666
31,composition,0.5714285714285715,0.5663716814159293,0.5,0.49230769230769234,0.6666666666666666,0.6666666666666666
32,give,0.5714285714285715,0.5689655172413792,0.5,0.4852941176470588,0.6666666666666666,0.6875
33,take,0.5714285714285715,0.584070796460177,0.5,0.5076923076923077,0.6666666666666666,0.6875
34,large,0.5714285714285715,0.5689655172413792,0.5,0.4852941176470588,0.6666666666666666,0.6875
35,emerge,0.5714285714285715,0.5423728813559322,0.5,0.45714285714285713,0.6666666666666666,0.6666666666666666
36,continue,0.5714285714285715,0.5499999999999999,0.5,0.4583333333333333,0.6666666666666666,0.6875
37,bank,0.5714285714285715,0.5691056910569106,0.5,0.4666666666666667,0.6666666666666666,0.7291666666666666
38,rate,0.5714285714285715,0.5428571428571429,0.5,0.41304347826086957,0.6666666666666666,0.7916666666666666
39,policy,0.5714285714285715,0.4666666666666667,0.5,0.3431372549019608,0.6666666666666666,0.7291666666666666
40,be,0.5714285714285715,0.39772727272727276,0.5,0.2734375,0.6666666666666666,0.7291666666666666
