name,fiscal_stance
20100423,-0.5333333333333333
20150209,0.027777777777777776
20100904,-0.11956521739130435
20091107,-0.5925925925925926
20110709,0.19047619047619047
20100604,0.0
20090924,0.0
20121105,-0.041666666666666664
20111015,0.09523809523809523
20140917,0.0
20100227,-0.34615384615384615
20101021,-0.6818181818181818
20120225,0.21428571428571427
20141115,-0.2619047619047619
20130719,-0.21428571428571427
20160721,-0.13333333333333333
20090903,-0.03125
20171006,-0.043478260869565216
20090708,-0.21666666666666667
20170314,-0.038461538461538464
20130418,-0.17391304347826086
20160226,0.014285714285714285
20110415,-0.4
20151115,0.06666666666666667
20130905,-0.3409090909090909
20160901,0.0
20170705,-0.26666666666666666
20110218,0.2
20130221,0.0
20140219,-0.07142857142857142
20120120,0.0
20150904,0.07407407407407407
