name,economic_condition,fiscal_analysis,fiscal_stance,fiscal_stance_dum,monetary_policy,no_topic,other_policies,risk
20100423,0.0,-0.8,-0.5333333333333333,0.3333333333333333,0.0,0,0.0,0.0
20150209,0.0,0.017857142857142856,0.027777777777777776,0.3333333333333333,0.0,0,-0.08333333333333333,0.0
20100904,0.0,0.0,-0.11956521739130435,0.391304347826087,0.0,0,-0.25,0.0
20091107,0.0,-1.3333333333333333,-0.5925925925925926,0.4074074074074074,0.20833333333333334,0,0.2857142857142857,0.0
20110709,0.0,0.0,0.19047619047619047,0.47619047619047616,-0.125,0,0.0,0.0
20100604,0.0,0.0,0.0,0.3333333333333333,0.0,0,0.0,0.0
20090924,0.0,0.0,0.0,0.2,0.0,0,0.0,0.0
20121105,0.0,0.0,-0.041666666666666664,0.20833333333333334,0.0,0,0.0,0.0
20111015,0.0,0.0,0.09523809523809523,0.47619047619047616,0.0,0,0.25,0.0
20140917,0.0,0.0,0.0,0.3902439024390244,0.0,0,0.1,0.0
20100227,0.0,0.0,-0.34615384615384615,0.19230769230769232,0.0,0,0.0,0.0
20101021,0.0,-0.6666666666666666,-0.6818181818181818,0.2727272727272727,0.0,0,-1.3333333333333333,0.0
20120225,0.0,0.0,0.21428571428571427,0.42857142857142855,0.0,0,0.0,0.0
20141115,0.0,-0.16666666666666666,-0.2619047619047619,0.42857142857142855,0.0,0,-0.4166666666666667,0.0
20130719,0.0,0.0,-0.21428571428571427,0.3142857142857143,-0.8181818181818182,0,0.0,0.0
20160721,0.0,-0.2222222222222222,-0.13333333333333333,0.3333333333333333,0.16666666666666666,0,0.26666666666666666,0.0
20090903,0.0,0.0,-0.03125,0.25,-0.3333333333333333,0,0.175,0.0
20171006,0.0,-0.08333333333333333,-0.043478260869565216,0.34782608695652173,0.0,0,-0.125,0.0
20090708,0.0,0.0,-0.21666666666666667,0.16666666666666666,-0.09090909090909091,0,-0.2222222222222222,0.0
20170314,0.0,0.0,-0.038461538461538464,0.23076923076923078,0.0,0,0.0,0.0
20130418,0.0,-0.2,-0.17391304347826086,0.30434782608695654,0.0,0,0.14285714285714285,0.0
20160226,1.0,0.15384615384615385,0.014285714285714285,0.45714285714285713,0.0,0,0.058823529411764705,0.0
20110415,0.0,-0.5,-0.4,0.3,0.0,0,0.0,0.0
20151115,0.0,0.0,0.06666666666666667,0.23333333333333334,0.0,0,0.0,0.0
20130905,0.0,0.0,-0.3409090909090909,0.36363636363636365,0.0,0,-0.1111111111111111,0.0
20160901,0.0,-0.045454545454545456,0.0,0.3125,0.0,0,-0.025,0.0
20170705,0.0,-0.5,-0.26666666666666666,0.26666666666666666,0.0,0,0.0,0.0
20110218,0.0,0.0,0.2,0.4,-0.125,0,-0.1,0.0
20130221,0.0,0.0,0.0,0.125,0.0,0,0.0,0.0
20140219,0.0,-0.14285714285714285,-0.07142857142857142,0.32142857142857145,-0.2857142857142857,0,-0.16666666666666666,0.0
20120120,0.0,0.0,0.0,0.3333333333333333,0.0,0,0.0,0.0
20150904,0.0,0.0,0.07407407407407407,0.2222222222222222,0.0,0,0.0,0.0
