name,economic_condition,fiscal_analysis,fiscal_stance,fiscal_stance_dum,monetary_policy,no_topic,other_policies,risk
20101021,0.0,0.10256410256410256,0.38461538461538464,0.38461538461538464,0.02564102564102564,0,0.10256410256410256,0.0
20150209,0.0,0.08823529411764706,0.35294117647058826,0.35294117647058826,0.058823529411764705,0,0.14705882352941177,0.0
20090924,0.02127659574468085,0.19148936170212766,0.3829787234042553,0.3829787234042553,0.0,0,0.02127659574468085,0.0
20160721,0.0,0.09302325581395349,0.37209302325581395,0.37209302325581395,0.0,0,0.16279069767441862,0.0
20130719,0.0,0.14814814814814814,0.37037037037037035,0.37037037037037035,0.018518518518518517,0,0.09259259259259259,0.0
20110709,0.0,0.045454545454545456,0.4090909090909091,0.4090909090909091,0.0,0,0.09090909090909091,0.045454545454545456
20130221,0.0,0.12903225806451613,0.3870967741935484,0.3870967741935484,0.0,0,0.0967741935483871,0.0
20100604,0.0,0.14893617021276595,0.3829787234042553,0.3829787234042553,0.0,0,0.06382978723404255,0.02127659574468085
20091107,0.0,0.0970873786407767,0.3786407766990291,0.3786407766990291,0.05825242718446602,0,0.08737864077669903,0.0
20170705,0.0,0.17647058823529413,0.3235294117647059,0.3235294117647059,0.058823529411764705,0,0.11764705882352941,0.0
20110415,0.0,0.2,0.37142857142857144,0.37142857142857144,0.0,0,0.05714285714285714,0.0
20140917,0.0,0.13953488372093023,0.3953488372093023,0.3953488372093023,0.0,0,0.046511627906976744,0.023255813953488372
20100904,0.013888888888888888,0.1111111111111111,0.375,0.375,0.027777777777777776,0,0.09722222222222222,0.0
20160226,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0,0,0.0,0.0
20160901,0.0,0.12903225806451613,0.3548387096774194,0.3548387096774194,0.0,0,0.16129032258064516,0.0
20090903,0.029411764705882353,0.11764705882352941,0.38235294117647056,0.38235294117647056,0.0,0,0.08823529411764706,0.0
20100627,0.006920415224913495,0.21453287197231835,0.3460207612456747,0.3460207612456747,0.010380622837370242,0,0.06228373702422145,0.01384083044982699
20170314,0.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.07407407407407407,0,0.14814814814814814,0.0
20130905,0.05,0.075,0.35,0.35,0.05,0,0.125,0.0
20141115,0.0,0.21052631578947367,0.3684210526315789,0.3684210526315789,0.0,0,0.05263157894736842,0.0
20120120,0.02631578947368421,0.13157894736842105,0.42105263157894735,0.42105263157894735,0.0,0,0.0,0.0
20151115,0.019230769230769232,0.07692307692307693,0.36538461538461536,0.36538461538461536,0.038461538461538464,0,0.1346153846153846,0.0
20110218,0.024390243902439025,0.0975609756097561,0.36585365853658536,0.36585365853658536,0.0,0,0.14634146341463414,0.0
20111015,0.0,0.22580645161290322,0.3548387096774194,0.3548387096774194,0.0,0,0.06451612903225806,0.0
20101112,0.0,0.2537313432835821,0.3582089552238806,0.3582089552238806,0.0,0,0.029850746268656716,0.0
20100423,0.01694915254237288,0.11864406779661017,0.3728813559322034,0.3728813559322034,0.03389830508474576,0,0.0847457627118644,0.0
20140219,0.0,0.15217391304347827,0.391304347826087,0.391304347826087,0.0,0,0.06521739130434782,0.0
20100227,0.0,0.1506849315068493,0.3698630136986301,0.3698630136986301,0.0410958904109589,0,0.0684931506849315,0.0
20120225,0.0,0.14285714285714285,0.39285714285714285,0.39285714285714285,0.0,0,0.07142857142857142,0.0
20130418,0.0,0.04,0.44,0.44,0.08,0,0.0,0.0
20090708,0.009523809523809525,0.22857142857142856,0.3619047619047619,0.3619047619047619,0.0,0,0.0380952380952381,0.0
20150904,0.030303030303030304,0.0,0.42424242424242425,0.42424242424242425,0.030303030303030304,0,0.09090909090909091,0.0
20121105,0.023809523809523808,0.11904761904761904,0.40476190476190477,0.40476190476190477,0.0,0,0.023809523809523808,0.023809523809523808
20171006,0.04838709677419355,0.1774193548387097,0.3387096774193548,0.3387096774193548,0.0,0,0.0967741935483871,0.0
