name,fiscal_stance
20101021,-0.9
20150209,-0.4166666666666667
20090924,-0.1111111111111111
20160721,0.4375
20130719,-0.425
20110709,-0.7222222222222222
20130221,-0.3333333333333333
20100604,-0.2777777777777778
20091107,-0.5128205128205128
20170705,0.0
20110415,-0.6923076923076923
20140917,-0.23529411764705882
20100904,-0.39814814814814814
20160226,0.2222222222222222
20160901,0.18181818181818182
20090903,-0.23076923076923078
20100627,-0.19875
20170314,0.2222222222222222
20130905,-0.5714285714285714
20141115,-0.21428571428571427
20120120,-0.46875
20151115,0.02631578947368421
20110218,-0.5833333333333334
20111015,-0.36363636363636365
20101112,-0.041666666666666664
20100423,-0.9090909090909091
20140219,-0.5277777777777778
20100227,-0.3611111111111111
20120225,-0.45454545454545453
20130418,-1.1818181818181819
20090708,-0.3157894736842105
20150904,-0.25
20121105,-0.20588235294117646
20171006,0.14285714285714285
